timestamp,event_id,n_event,callback_id,application_id,source,target,value
2025-04-04 14:46:09.098571,enact,5,interaction_energy,Application,frontend,redis,0.5
2025-04-04 14:46:09.098574,enact,5,interaction_energy,Application,api,identity_provider,0.5
2025-04-04 14:46:09.098576,enact,5,interaction_energy,Application,api,etcd,0.6666666666666666
2025-04-04 14:46:09.098578,enact,5,interaction_energy,Application,api,database,1.8333333333333333
2025-04-04 14:46:09.098579,enact,5,interaction_energy,Application,api,redis,0.16666666666666666
2025-04-04 14:46:09.098581,enact,5,interaction_energy,Application,identity_provider,etcd,0.16666666666666666
2025-04-04 14:46:09.098668,enact,5,interaction_emissions,Application,load_balancer,frontend,335.0
2025-04-04 14:46:09.098676,enact,5,interaction_emissions,Application,frontend,api,311.6666666666667
2025-04-04 14:46:09.098681,enact,5,interaction_emissions,Application,frontend,redis,255.5
2025-04-04 14:46:09.098685,enact,5,interaction_emissions,Application,api,identity_provider,241.5
2025-04-04 14:46:09.098688,enact,5,interaction_emissions,Application,api,etcd,140.0
2025-04-04 14:46:09.098691,enact,5,interaction_emissions,Application,api,database,583.0
2025-04-04 14:46:09.098694,enact,5,interaction_emissions,Application,api,redis,80.5
2025-04-04 14:46:09.098698,enact,5,interaction_emissions,Application,identity_provider,etcd,57.83333333333333
2025-04-04 14:46:09.099654,enact,5,required_latency,Application,load_balancer,frontend,25
2025-04-04 14:46:09.099658,enact,5,required_latency,Application,frontend,api,25
2025-04-04 14:46:09.099659,enact,5,required_latency,Application,frontend,redis,25
2025-04-04 14:46:09.099661,enact,5,required_latency,Application,api,identity_provider,20
2025-04-04 14:46:09.099662,enact,5,required_latency,Application,api,etcd,20
2025-04-04 14:46:09.099664,enact,5,required_latency,Application,api,database,20
2025-04-04 14:46:09.099665,enact,5,required_latency,Application,api,redis,20
2025-04-04 14:46:09.099667,enact,5,required_latency,Application,identity_provider,etcd,20
2025-04-04 14:46:09.099738,enact,5,required_bandwidth,Application,load_balancer,frontend,0
2025-04-04 14:46:09.099742,enact,5,required_bandwidth,Application,frontend,api,0
2025-04-04 14:46:09.099744,enact,5,required_bandwidth,Application,frontend,redis,0
2025-04-04 14:46:09.099745,enact,5,required_bandwidth,Application,api,identity_provider,0
2025-04-04 14:46:09.099747,enact,5,required_bandwidth,Application,api,etcd,0
2025-04-04 14:46:09.099749,enact,5,required_bandwidth,Application,api,database,0
2025-04-04 14:46:09.099750,enact,5,required_bandwidth,Application,api,redis,0
2025-04-04 14:46:09.099751,enact,5,required_bandwidth,Application,identity_provider,etcd,0
2025-04-04 14:46:09.113895,enact,6,interaction_energy,Application,load_balancer,frontend,0.8333333333333334
2025-04-04 14:46:09.113900,enact,6,interaction_energy,Application,frontend,api,0.8333333333333334
2025-04-04 14:46:09.113903,enact,6,interaction_energy,Application,frontend,redis,0.5
2025-04-04 14:46:09.113906,enact,6,interaction_energy,Application,api,identity_provider,0.5
2025-04-04 14:46:09.113908,enact,6,interaction_energy,Application,api,etcd,0.6666666666666666
2025-04-04 14:46:09.113913,enact,6,interaction_energy,Application,api,database,1.8333333333333333
2025-04-04 14:46:09.113915,enact,6,interaction_energy,Application,api,redis,0.16666666666666666
2025-04-04 14:46:09.113916,enact,6,interaction_energy,Application,identity_provider,etcd,0.16666666666666666
2025-04-04 14:46:09.113978,enact,6,interaction_emissions,Application,load_balancer,frontend,335.0
2025-04-04 14:46:09.113982,enact,6,interaction_emissions,Application,frontend,api,311.6666666666667
2025-04-04 14:46:09.113985,enact,6,interaction_emissions,Application,frontend,redis,255.5
2025-04-04 14:46:09.113987,enact,6,interaction_emissions,Application,api,identity_provider,241.5
2025-04-04 14:46:09.113989,enact,6,interaction_emissions,Application,api,etcd,140.0
2025-04-04 14:46:09.113991,enact,6,interaction_emissions,Application,api,database,583.0
2025-04-04 14:46:09.113993,enact,6,interaction_emissions,Application,api,redis,80.5
